EDAD,GENERO,CARRERA,EDAD_ELECCION_CARRERA,CARRERA_LO_QREALM_QUERIAS,APASIONA_TUCARRERA,OPORT_LABORALES,FERIAS_EXPO,REC_FINANCIEROS,PASE_AUTOMATICO,PROM_CALIF_MIN,DIST_ALA_UNIV,PRESTIG_TITULO,SALARIO_PROM,PLAN_ESTUDIOS_DETERMINANTE,TIPOS_ESPACIOS,OTROS_TIPO_ESPAC,HABILIDAD1,HABILIDAD2,HABILIDAD3,HABILIDAD4,HABILIDAD5,CALIF_HABIL1,CALIF_HABIL2,CALIF_HABIL3,CALIF_HABIL4,CALIF_HABIL5,ELECC_CARRERA,OTROS_ELEC_CARRERA,MATERIA1,MATERIA2,MATERIA3,MATERIA4,MATERIA5,CALIFM1,CALIFM2,CALIFM3,CALIFM4,CALIFM5,INFLU_MEDIATICA,CARR_PROF_PADRES,,,
22,Mujer,Ingenieria en computacion,17,4,4,3,1,1,1,1,1,1,1,3,Oficinas,,Razocineo,Lògica,Entendimiento,Trabajo en equipo,Ingles,9,9,9,8,9,Personal,,Cibernetica,Fisica,Matematicas,Programacion,Logica,10,9,10,8,8,Ninguno,S/carrera,,,
23,Hombre,Ingenieria en computacion,17,4,5,5,5,1,5,5,5,3,5,5,Oficinas,,Vision,Trabajo en equipo,Liderazgo,Razonamiento,Logica,8,10,8,7,9,Personal,,Matematicas,Fisica,Programacion,Quimica,Logica,9,7,9,10,8,Ninguno,Diferente,,,
23,Hombre,Ingenieria en computacion,17,3,4,5,5,4,5,5,3,4,4,4,Oficinas,,Sintesis,Razonamiento,Liderazgo,Logica,Vision,8,8,7,8,8,Personal,,Calculo,Estadistica,Programacion,Logica,Filosofia,9,8,10,1,9,Web / Redes Soc,S/carrera,,,
22,Hombre,Ingenieria en computacion,17,3,2,4,2,1,5,5,1,1,1,1,Oficinas,,Resolver problemas,Absracion,Analitico,Autodidacta,Organización,7,7,8,8,7,Personal,,Matematicas,Fisica,Quimica,Informatica,Logica,8,6,9,9,10,Web / Redes Soc,S/carrera,,,
21,Hombre,Ingeniria Industrial,18,4,4,4,1,5,5,5,1,1,3,5,Oficinas,,Analitico,Liderazgo,Productivo,Inovacion,Creatividad,10,7,8,7,7,Personal,,Calculo,Estadistica,Matematicas,Logica,Literatura,10,10,9,8,7,Ninguno,S/carrera,,,
21,Mujer,Ingeniria Industrial,16,5,5,5,4,3,1,1,4,4,4,4,Oficinas,,Diseño,Logistica,Creatividad,Innovacion,Planeacion,10,9,9,8,9,Personal,,Matematicas,Estadistica,Quimica,Algebra,Filosofia,9,7,8,9,10,Ninguno,S/carrera,,,
21,Mujer,Ingeniria Industrial,18,4,4,5,5,4,1,4,2,4,4,2,Campo,,Liderazgo,Razonamiento,Creatividad,Logica,Responsabilidad,4,4,3,4,4,Personal,,Fisica,Matematicas,Quimica,Algebra,Calculo,1,9,9,9,8,Ninguno,S/carrera,,,
20,Mujer,Ingeniria Industrial,17,5,5,5,1,1,1,1,1,1,2,1,Campo,,Liderazgo,Creatividad,Emprendimiento,Trabajo en equipo,Etica,7,6,7,9,10,Personal,,Calculo,Estadistica,Fisica,Algebra,Quimica,10,10,8,9,9,Ninguno,S/carrera,,,
21,Mujer,Ingeniria Industrial,17,4,5,5,5,3,5,3,3,4,4,4,Campo,,Eficiencia,Optimizar,Analitico,Hablar en publico,Liderazgo,9,9,9,10,10,Personal,,Calculo,Fisica,Quimica,Diseño ambiental,Expresion grafica,8,9,9,9,10,Web / Redes Soc,S/carrera,,,
23,Hombre,Ingenieria electrica-electronica,17,5,5,4,4,3,3,5,4,4,4,3,Campo,,Abstración,Pensamiento crítico,Habilidad numerica,Idiomas,Comprensión de lectura,8,8,8,5,7,Personal,,Calculo,Geometria,Programacion,Algebra,Ingles,9,8,8,8,5,Ninguno,S/carrera,,,
22,Mujer,Ingeniería Petrolera,18,4,4,5,5,1,5,4,3,5,5,4,Campo,,Liderazgo, toma de desiciones, habilidad para matematicas, visualizar espacio y trabajar en un ambiente diferente,,9,8,9,10,7,Personal,,Cálculo Diferencial e integral, Álgebra, Geometría Analítica, Temas Selectos de Matemáticas y Química.,,10,8,10,10,9,Web / Redes Sociales,Sin Carrera,,,
26,Mujer,Ingenieria en Computacion,15,4,4,5,5,3,3,2,2,4,4,4,Oficinas,,Liderazgo, análisis, trabajo en equipo, razonamiento, lógica,8,8,7,9,8,Personal,,Cálculo integral y Diferencial, Cibernética, Física, Administración,,6,9,7,9,,TV / Medios Impresos,Diferente,,,
20,Mujer,Contaduria,17,4,5,5,5,5,5,1,1,1,2,5,Oficinas,,Habilidad matemática, disciplina, Razonamiento Lógico, toma de decisiones, habilidades de comunicación,10,8,9,8,7,Personal,,Administración y contabilidad, matemáticas, derecho, problemas sociales políticos y económicos de México, geografía económica,10,8,8,10,10,Ninguna,Misma,,,
26,Hombre,Ingeniería mecatrónica,18,1,2,1,1,1,1,1,1,4,4,1,Campo,,matemáticas, Lógica, Idiomas, Trabajo en equípo,,7,,,,,Familiares,,Temas selectos de matemáticas,,,,,10,,,,,Ninguna,Diferente,,,
24,Mujer,Contaduria,18,2,4,5,1,5,5,5,4,1,4,1,Oficinas,,Trabajo en equipo,liderazgo,toma de decisiones,razonamiento logico y ser sociable,,9,7,7,7,8,Personal,,Probabiblidad y Estadistica, lenguaje y comunicacion,admistracion,economia,lengua extranjera,9,9,9,8,10,Ninguna,Misma,,,
22,Mujer,Ingeniería Industrial,17,5,5,4,5,5,1,1,1,1,1,5,los tres anteriores,,Proactividad,,,,,9,7,9,6,9,Personal,,Estadística y Probabilidad,,,,,8,8,8,9,8,Ninguna,Sin Carrera,,,
24,Hombre,Ingenieria en Computacion,16,5,5,5,5,1,1,4,1,4,4,4,Oficinas,,Ingenio, abstracto, autodidacta, paciencia, dominio de ingles,10,10,9,8,9,Personal,,Cibernetica y computación, Probabilidad y estadística, cálculo diferencial, cálculo integral, computación,10,10,9,9,10,TV / Medios Impresos,Sin Carrera,,,
26,Mujer,Ingenieria en Computacion,19,5,5,5,5,5,1,5,1,1,4,5,Oficinas,,analisis, responsabilidad, saber buscar informacion, tolarancia, atencion al detalle,9,10,8,9,10,Personal,,inteligencia artificial, admin de proyectos de software, PLN, Probabilidad, Discretas,8,10,9,6,9,Familiar,Diferente,,,
22,Hombre,Ingenieria en Computacion,18,4,5,5,5,5,5,5,5,5,1,1,Oficinas,,Estudiar constantemente, responsabilidad, prevención, visión y comprensión,,2,3,3,4,4,Personal,,Negocios electrónicos, bases de datos, inteligencia artificial, administración de proyectos de software e ingeniería de software,,8,7,7,8,9,Ninguna,Sin Carrera,,,
27,Mujer,Ingeniería Eléctrica y Electrónica,22,5,5,5,5,5,1,1,1,5,5,5,Oficinas,,agilidad mental, imaginación, trabajo bajo presión,,,9,10,8,,,Personal,,Matemáticas y física,,,,,9,9,,,,Amigos,Sin Carrera,,,
22,Hombre,Ingeniería Civil,18,4,4,4,5,2,1,1,1,5,4,2,Campo,,Toma de decisiones, creatividad, trabajo en equipo, ingenio, liderazgo,3,3,5,4,4,Personal,,Calculo diferencial, integral, cinemática y dinámica, física, ética,10,9,9,8,9,Ninguna,Diferente,,,
26,Mujer,Ingenieria en Computacion,18,5,4,5,1,1,5,5,1,5,5,5,Oficinas,,Paciencia, destreza, tolerancia, responsabilidad y habilidad,,2,3,2,2,3,Personal,,Calculo diferencial, física, matemáticas, economía y administración,,10,9,8,9,9,Ninguna,Sin Carrera,,,
25,Hombre,Ciencia Politica,19,5,5,5,5,2,1,1,1,1,2,2,"Centros de investigaciones, partidos politicos e instituciones publicas",,Sintesis, analisis, pensamiento prospectivo, capacidad explicativa y excelente redadccion,,9,9,9,9,9,Personal,,Problemas Politicos, sociales y economicos de México, Historia de México, Historia Universal, Sociologia y Derecho,9,9,9,8,8,Ninguna,Sin Carrera,,,
23,Hombre,Ingenieria en Computacion,18,4,4,5,5,5,3,3,4,4,4,4,Oficinas,,Lógica, constancia, memoria, paciencia e intuición,,9,8,7,6,8,Personal,,Cálculo Diferencial, Cálculo Integral, CAD, Computación y Diseño,,5,5,5,5,5,Carrera de Moda,Sin Carrera,,,
23,Hombre,Ingeniería Civil,18,5,5,5,5,1,2,2,1,5,4,4,Campo,,- Diseñar estructuras,,,,,8,7,8,8,9,Personal,,1.-Matemáticas IV,,,,,6,6,9,7,8,Ninguna,Diferente,,,
25,Mujer,Diseño y comunicación visual,17,4,5,3,5,5,5,5,1,5,1,1,Oficinas,,Creatividad, paciencia, visión, cognitiva, motriz,4,3,4,4,4,Personal,,Expresión gráfica, comunicación psicología, filosofía, historia,,10,10,10,8,8,Web / Redes Sociales,Diferente,,,
26,Hombre,Ingeniería Eléctrica y Electrónica,18,2,2,5,5,5,5,5,5,5,5,5,Oficinas,,Responsabilidad, Liderazgo, Paciencia, Inteligencia, Rapidez,2,3,3,3,2,Personal,,Calculo integral, calculo diferencial, geometría, álgebra, estadística,8,7,7,7,8,TV / Medios Impresos,Diferente,,,
28,Hombre,Ingenieria en Computacion,18,5,5,4,5,1,1,5,5,5,1,1,Campo,,Trabajo en equipo, trabajo bajo presión, rápida adaptación, comunicación, dirección de equipo,10,9,8,8,9,Personal,,Desarrollo web, redes, bases de datos,sistemas operativos, inglés,10,10,9,10,10,Carrera Nueva,Diferente,,,
22,Mujer,Ingeniería mecatrónica,18,2,4,4,2,5,1,1,1,4,3,3,Extranjero,, Creatividad,  conocimientos de diversas áreas de la ingeniería,  trabajo en equipo,  trabajo individual,  liderazgo,8,7,8,8,7,Personal,,1. Matemáticas,,,,,10,9,10,9,8,Carrera Nueva,Diferente,,,
22,Mujer,Ingeniería Industrial,18,5,5,5,5,5,5,5,4,4,5,5,Oficinas,,Optimización, procesos, matemáticas, innovación, tecnología,9,9,8,9,9,Personal,,Administración, física, probabilidad, cálculo, económia,9,9,10,8,9,Web / Redes Sociales,Sin Carrera,,,
22,Hombre,Ingeniería Mecánica,18,5,5,5,1,5,5,5,1,1,1,1,Campo,,Matemática, lógica, para resolver problemas, espacial y visual,,9,9,9,8,9,Personal,,Matemáticas iv, v, vi, computación, física,6,6,6,7,6,Ninguna,Diferente,,,
28,Hombre,Ingeniería Petrolera,19,4,2,2,1,1,5,5,1,5,4,1,Campo,,Trabajo en equipo, trabajar bajo presión, hablar en público, capacidad de análisis y autodidacta,,9,8,8,8,9,Personal,,Cálculo 1 y 2, Química, Física, Matemáticas y Probabilidad,,10,8,9,10,10,Ninguna,Sin Carrera,,,
20,Mujer,Ingenieria en Computacion,18,4,4,5,5,1,1,2,1,4,4,4,Oficinas,,Lógica matemática, imaginación espacial, constancia, comprensión de lectura, paciencia,7,10,9,9,8,Personal,,Matemáticas 4,5 y 6, informática aplicada, física, opción técnica de computación,8,10,9,9,9,Ninguna,Misma,,,
22,Mujer,Ingeniería mecatrónica,17,4,3,5,5,5,5,5,5,5,5,5,Oficinas,,Trabajo en equipo, organización, comunicación, planeación, pensamiento lógico,9,10,10,10,10,Amigos,,Matemáticas 4,5 y 6, temas selectos de matemáticas, física,,10,10,10,10,10,Carrera de Moda,Diferente,,,
24,Hombre,Lic Informática,20,4,5,5,5,5,1,1,5,5,5,5,Oficinas,,Matemática,,,,,6,6,8,7,9,Personal,,Base de datos,,,,,9,8,9,8,8,Presencial,Diferente,,,
23,Mujer,Ingenieria en Computacion,17,2,2,5,5,5,5,5,1,2,2,3,Oficinas,,Autodidacta, creativo, responsable, trabajar en equipo y saber resolver problemas,,8,8,8,8,7,Familiares,,Cibernética ,Cálculo Diferencial,Calculo Integral,,,10,10,,,,Carrera de Moda,Sin Carrera,,,
20,Hombre,Ingenieria en Computacion,15,5,5,5,1,5,1,1,5,4,4,5,privado,,pensamieno critico,logica,constancia,estudio,,10,10,6,10,,Personal,,programacion, algebra,geometria analitica,calculo,,10,10,10,8,,Web / Redes Sociales,Sin Carrera,,,
23,Hombre,Ingenieria en Computacion,18,4,5,5,5,5,3,3,4,4,5,2,Oficinas,,Matemáticas, Cómputo, Programación, Planeación, Idiomas,8,9,9,10,10,Personal,,Programación, Álgebra, Geometría, Cálculo, Física,10,7,9,8,7,Web / Redes Sociales,Diferente,,,
22,Mujer,Gastronomia,17,5,5,5,1,5,5,5,4,1,1,1,,,Liderazgo,responsabilidad, creatividad, agilidad y destreza,,2,1,1,1,1,Personal,,Contabilidad, informática.,,,,8,8,,,,Web / Redes Sociales,Sin Carrera,,,
24,Hombre,Ingenieria en Computacion,18,4,5,5,4,5,5,5,4,5,4,4,Oficinas,,Liderazgo, dedicació, resolución de problema, ordenado, paciencia,3,4,3,3,2,Personal,,Matemáticas,física,química,literatura,inglés,3,3,3,3,2,Web / Redes Sociales,Sin Carrera,,,
21,Hombre,Ingenieria en Computacion,16,4,5,4,4,5,5,4,4,5,3,5,Oficinas,,Tolerancia,entendimiento,creatividad,detección,solucionar,10,10,10,10,10,Personal,,Matemáticas, computación matemáticas2 matemáticas3, informática,,,8,9,9,8,9,Web / Redes Sociales,Diferente,,,
36,Hombre,Biología,17,5,5,5,1,4,1,1,1,1,1,4,Los dos: Oficina y campo,, Resolución de problemas,  Adaptabilidad,  Razonamiento analítico,  Trabajo en equipo,  Idiomas,8,10,8,9,6,Personal,,1. Biología, 2. Estadística, 3. Geografía, 4. Matemáticas, 5. Redacción de textos.,10,9,10,8,10,Maestros,Sin Carrera,,,
22,Hombre,Ingenieria en Computacion,15,5,5,5,5,5,5,5,5,5,5,1,Extranjero,,Dominio del idioma inglés, certificaciones, matemáticas, programación, habilidad matemática,10,10,10,10,9,Personal,,Matemáticas, física, quimica, psicología, inglés,10,10,10,9,10,Ninguna,Diferente,,,
22,Mujer,Ingenieria en Computacion,18,4,5,2,5,2,1,1,1,5,5,3,Oficinas,,Razonamiento matemático, abstracción,trabajar bajo presión, habilidad para resolución de problemas, creatividad e imaginación,2,2,2,2,3,Personal,,Cibernética, cálculo diferencial, integral, física 1 y 2,,8,6,7,8,8,Web / Redes Sociales,Diferente,,,
23,Hombre,Ingenieria en Computacion,18,5,5,5,5,1,4,4,5,4,4,1,Oficinas,,Comprensión matemática, razonamiento, habilidades comunicativas, creatividad, liderazgo,8,9,10,8,10,Personal,,Matemáticas, física, lógica, dibujo constructivo, informática.,8,10,6,9,10,Web / Redes Sociales,Diferente,,,
23,Hombre,Ingenieria en Computacion,19,5,5,5,1,5,5,5,5,5,4,5,Oficinas,,Habilidad Matemática, Razonamiento, Imaginación, Análisis Espacial, habilidad probabilística,9,9,9,9,9,Personal,,Matemáticas, Cibernética, Álgebra, Calculo, Fisica,8,8,8,8,8,Carrera de Moda,Diferente,,,
18,Mujer,Actuaría,15,5,5,5,5,4,5,5,2,5,2,5,Oficinas,,Habilidad matemática, habilidad lógica, relaciones interpersonales, buen procesamiento de datos, habilidad para resolver problemas,10,10,8,9,9,Personal,,Matemáticas, Temas Selectos de Matemáticas, Física, Informática, Química.,10,10,10,9,10,Ninguna,Similar,,,
22,Hombre,Ingenieria en Computacion,18,4,4,4,1,1,1,1,1,2,2,1,Oficinas,,Pensamiento lógico, analítico, matemático, paciencia y dedicación,,9,8,8,7,6,Personal,,Computación, Matemáticas, Física, Programación Básica, Tutoría.,9,9,8,9,10,"Películas, ciencia ficción y tecnología.",Diferente,,,
25,Mujer,Trabajo social,18,4,4,4,5,1,1,1,1,1,1,1,Oficinas,,Trabajo en equipo, capacidad para resolver problemas, habilidades comunicativas, creatividad, flexibilidad,8,9,9,8,9,Personal,,Estadística, filosofía, derecho, administración,,9,10,9,9,,Situaciones personales,Sin Carrera,,,
21,Mujer,Ingenieria en Computacion,18,4,2,5,5,5,1,1,1,5,4,1,Oficinas,,Ser Autodidacta, resolución de problemas, análisis de sistemas, programación, trabajo en equipo,7,8,7,8,7,Personal,,Matemáticas, informática, física,,,9,10,10,,,Ninguna,Sin Carrera,,,
22,Hombre,Ingenieria en Computacion,17,4,4,5,4,4,5,4,4,4,5,5,Oficinas,,Responsabilidad, concentración, tolerancia a la frustración, creatividad, resolver problemas,8,9,10,8,10,Personal,,Matemáticas, informática, computación, temas selectos, algebra,9,10,9,8,10,Carrera de Moda,Diferente,,,
32,Hombre,Informatica,30,4,4,4,1,4,3,4,4,1,1,4,Oficinas,,Razonamiento, creatividad, ingles, documentar, activo,8,9,4,7,9,Personal,,Computacion, matematicas,,,,8,8,,,,Web / Redes Sociales,Sin Carrera,,,
22,Hombre,Ingenieria en Computacion,16,5,5,5,5,5,5,5,5,5,5,4,Oficinas,,Programación, Planificación y administración, Manejo de sistemas operativos, Habilidad en el ámbito matemático, Conocimientos generales de computo,9,7,8,8,9,Personal,,Cibernetica, Calculo, Física, Matemáticas, Filosofía,10,9,6,10,10,Simplemente me gustaba la computación desde muy chico,Sin Carrera,,,
23,Hombre,Económia,20,4,4,5,2,4,1,1,1,4,4,4,"Puede ser Gobierno, Extranjero y Privado.",,Matemáticas, Teoría, Analisis e Investigación,,,10,10,9,9,9,Personal,,Matemáticas, Económia e Historia.,,,,9,9,9,8,7,Web / Redes Sociales,Diferente,,,
21,Hombre,Ingenieria en Computacion,18,5,5,5,5,3,5,4,4,5,3,5,Oficinas,,Autodidacta, lógica, apasionado, astucia, creatividad,10,9,9,9,10,Personal,,Matemáticas, computación, física,,,8,9,6,,,Ninguna,Diferente,,,
22,Hombre,Ingenieria en Computacion,17,4,5,5,5,4,5,5,5,5,5,4,Oficinas,,Creatividad, Analítico, Perseverante,,,9,8,8,5,5,Personal,,Cibernética, Cálculo, Matemáticas,,,9,9,9,8,8,Ninguna,Sin Carrera,,,
21,Hombre,Ingenieria en Computacion,17,5,5,5,1,4,1,4,1,5,4,5,Extranjero,,Matemáticas, sociales, lógicas, destreza, paciencia,7,8,10,9,9,Personal,,Cibernética, cálculo, filosofía, álgebra, geometría analítica.,10,10,10,10,9,Ninguna,Sin Carrera,,,
22,Mujer,Ingenieria en Computacion,14,4,4,5,1,4,4,5,5,4,3,3,Oficinas,,Creatividad, diligencia, habilidad autodidacta, programación, modelado,3,3,3,2,3,Personal,,Informática, Matemáticas, Literatura, Física, Artes plásticas,10,8,8,7,10,Web / Redes Sociales,Diferente,,,
23,Mujer,Ingenieria en Computacion,19,5,5,4,4,1,5,5,1,4,4,1,Oficinas,,Matemática, lógica, razonamiento, solución de problemas, comprensión de textos,9,10,8,9,9,Personal,,Matemáticas, informática, lógica, álgebra, física,9,9,10,10,10,Ninguna,Sin Carrera,,,
23,Hombre,ingenieria en computacion,18,2,2,4,5,5,5,5,5,2,1,1,Oficinas,,disciplina, creatividad, empatía, liderazgo, autodidacta,7,9,9,8,9,Personal,,Cibernética, calculo, psicología, curso robotica, curso computacion,10,9,10,10,10,Web / Redes Sociales,Diferente,,,
21,Mujer,Ingenieria en Computacion,17,5,5,5,1,1,1,1,1,5,4,1,Oficinas,,constancia, comprender, analizar, paciencia, ser estructurado,9,10,10,9,10,Personal,,matemáticas, cibernetica, computación, calculo.,,10,10,9,10,,Ninguna,Sin Carrera,,,
22,Hombre,Ingenieria en Computacion,16,2,5,5,1,1,1,1,1,1,1,1,Extranjero,,Dedicación, concentración, pasión, análisis, sentido común,8,5,9,10,9,Familiares,,Cibernética, Filosofía, ciencias de la salud, Latín, Geografía,10,10,8,8,10,Ninguna,Sin Carrera,,,
23,Hombre,Ingeniería Mecánica,19,4,4,5,3,4,4,5,4,4,4,4,Laboratorios,,analitico, disciplinado, trabajo en equipo,,,10,10,10,,,Personal,,matematicas, fisica, quimica,,,,,,,,Ninguna,Sin Carrera,,,
53,Hombre,Contaduria,18,4,1,5,1,5,1,1,5,1,4,1,Oficinas,,Paciencia, honestidad, disciplina, constancia, dedicación,8,10,9,10,10,Personal,,Matemáticas,administración, estadística, ética, piscologia,8,10,7,10,10,Ninguna,Sin Carrera,,,
22,Hombre,Ingeniería Mecánica,17,2,4,5,4,2,1,1,1,4,4,1,Oficinas,,Paciencia, Resiliencia, Inteligencia, Creatividad, Dedicación,9,9,8,9,6,Personal,,Matemáticas, Física, Química, Salud, Dibujo,9,9,9,8,8,Ninguna,Diferente,,,
21,Hombre,Ingeniería Eléctrica y Electrónica,17,1,1,5,5,5,1,1,1,1,5,4,Campo,,Liderazgo, lógica, matemática, razonamiento, entrega,2,3,3,3,3,Personal,,Matemáticas, física, lógica, ética, química,10,10,8,9,8,Web / Redes Sociales,Sin Carrera,,,
21,Mujer,Ingenieria en Computacion,16,4,5,5,1,3,5,5,1,1,2,5,Oficinas,,Paciencia, Control, Respeto, Empatía, Dedicación,10,7,10,3,10,Personal,,Matemáticas, Cibernética, Física, Inglés, Expresión Gráfica,10,10,8,8,,Web / Redes Sociales,Diferente,,,
20,Hombre,Ingeniería Civil,16,5,5,5,4,1,3,1,1,3,4,1,Extranjero,,liderazgo, decision, compromiso,,,7,7,6,,,Personal,,matematicas,,,,,8,,,,,TV / Medios Impresos,Diferente,,,
40,Hombre,Sociologia,37,5,5,5,1,1,1,1,1,1,1,5,Campo,,Analisis, critica, observacion, teorias, experimentacion,9,9,10,8,8,Personal,,Estadistica, estetica, etica, ciencias politicas y sociales, historia,8,10,9,10,10,Ninguna,Diferente,,,
24,Mujer,Ingenieria en Computacion,19,2,2,2,1,1,1,1,1,2,2,2,Extranjero,,Análisis, trabajo en equipo, trabajo bajo presión, habilidad de programación, resolver casos en un tiempo establecido,8,10,10,7,8,Personal,,Matemáticas, física, lógica, español, química.,9,9,10,10,8,Ninguna,Diferente,,,
22,Hombre,Ingenieria en Computacion,18,5,5,5,4,5,5,5,1,2,1,1,Oficinas,,Análisis, Razonamiento Lógico, Autoaprendizaje, Paciencia, Abstracción,8,8,10,9,8,Personal,,Informática, Álgebra, Dibujo, Cálculo Integral, Geometría Analítica,9,8,8,9,9,Web / Redes Sociales,Diferente,,,
22,Mujer,Ingeniería Petrolera,18,2,4,1,5,5,5,5,5,5,5,1,Campo,,Análisis, respuestas rápidas, creatividad, trabajo en equipo, toma de decisión,10,10,8,10,10,Personal,,Matemáticas, temas selectos de matemáticas, dibujo, química, computación,10,10,8,6,9,TV / Medios Impresos,Diferente,,,
22,Hombre,Ingeniería telecomunicaciones,18,5,4,5,1,1,5,5,1,1,4,1,Oficinas,,Análisis, interpretación, organización, constancia,,8,9,9,10,,Personal,,Matemáticas, cálculo, estadística, computación,,10,9,10,10,,Ninguna,Diferente,,,
23,Mujer,Actuaría,15,5,5,5,5,5,1,1,1,1,1,5,Oficinas,,Análisis, resolución de problemas, trabajo en equipo, persistencia,,9,8,10,10,,Personal,,Matemáticas, temas selectos de matemáticas,,,,9,9,,,,Ninguna,Sin Carrera,,,
21,Hombre,Ingenieria en Computacion,11,5,5,5,1,1,1,1,1,1,4,4,Oficinas,,Análisis, Toma de decisiones, Lógica,,,7,8,6,,,Personal,,Informática,,,,,8,,,,,Ninguna,Misma,,,
20,Mujer,Ingeniería telecomunicaciones,15,4,5,5,5,2,5,5,5,5,3,4,Oficinas,,ingenio,habilidad numérica,creatividad,memoria,responsabilidad,8,8,9,8,10,Personal,,matematicas, fisica,,,,9,9,,,,Ninguna,Diferente,,,
20,Mujer,Ingenieria en Computacion,13,5,5,4,5,5,5,5,3,1,3,1,Extranjero,,Cálculo, física, programación básica, álgebra y estructuras de datos,,9,10,9,9,9,Personal,,Cibernética, cálculo, física, matemáticas y química.,,10,9,10,10,7,Simplemente me enfoqué en las materias en las que destaco y busqué alguna carrera que estuviera relacionado con ellas.,Diferente,,,
26,Hombre,Ingenieria en Computacion,22,2,4,4,1,1,1,1,1,4,4,4,Oficinas,,Lógica, creatividad, diseño, paciencia, razonamiento,4,4,4,5,5,Personal,,Matemáticas, física, inglés, ética, Economía,9,9,10,9,8,Web / Redes Sociales,Sin Carrera,,,
22,Hombre,Ingenieria en Computacion,18,5,5,5,4,4,5,5,5,1,1,4,Extranjero,,logica,habilidad mental, razonamiento, habilidad matematica,inteligencia,9,9,8,10,9,Personal,,matematicas,fisica,dibujo,informatica,robotica,10,10,10,10,10,Web / Redes Sociales,Diferente,,,
21,Hombre,Ingenieria en Computacion,18,4,5,5,5,1,1,1,1,1,1,1,Oficinas,,Lógica, Matemática, Algoritmica, Abstracción, Razonamiento,2,2,2,2,2,Personal,,Matemáticas, Lógica, Mates avanzadas, razonamiento matemático e informática,,9,8,9,9,10,Web / Redes Sociales,Diferente,,,
22,Hombre,Ingenieria en Computacion,17,4,2,5,1,1,5,5,1,1,5,1,Oficinas,,Logica, matemática, compañerísmo, abstracción, interpretación,3,3,3,3,3,Personal,,Computación, matemáticas, física, filosofía, redaccion,10,8,9,10,10,Web / Redes Sociales,Diferente,,,
19,Mujer,Ingeniería Mecánica,18,5,5,1,5,1,5,5,1,1,1,1,Campo,,,,,,,,,,,,Personal,,Matemáticas, Inglés, Física, Álgebra,,10,8,7,10,,Ninguna,Sin Carrera,,,
31,Hombre,Antropología social,22,5,4,5,1,1,1,1,1,1,1,5,Campo,,Análisis de datos cuantitativos y cualitativos, trabajo en equipo, creación de proyectos, empatía y resolución de problemas,,9,7,8,9,8,Personal,,Sociología, antropología, estadistica, recursos humanos y metodología de investigación.,,7,8,8,9,10,Libros y acercamiento desde la psicología,Sin Carrera,,,
25,Hombre,Ingeniería Eléctrica y Electrónica,18,4,4,2,5,5,2,4,5,4,4,5,Oficinas,,Comunicación con equipos de trabajo, perseverancia, organización, trabajo bajo presión y creatividad,,6,9,8,7,8,Personal,,Física III, Física IV, Geometría Analítica, Cálculo Diferencial e Integral, Informática aplicada a la Ciencia e Industria,10,6,7,8,10,TV / Medios Impresos,Sin Carrera,,,
23,Mujer,Ciencias de la comunicación,18,2,2,2,5,5,5,5,5,1,1,4,Foros de radio o tv,,Buena ortografía, habilidad de habla, capacidad de síntesis, rápidez mental, habilidad para solucionar problemas,9,9,10,9,9,Personal,,Literatura, derecho, into a las ciencias sociales, sociología, lengua española,10,10,9,9,10,Web / Redes Sociales,Sin Carrera,,,
24,Mujer,Trabajo Social,17,4,5,1,1,1,1,1,1,1,1,2,Campo,,Observacion, empatia, compromiso, asertividad, interés,10,10,10,9,10,Personal,,Psicología, lectura, inglés, estadística, derecho,10,8,8,8,10,Ninguna,Sin Carrera,,,
22,Hombre,Administracion,17,1,1,5,1,5,5,5,5,5,5,1,Oficinas,,Planeación, Liderazgo, Creatividad, Comunicación y Organización,,9,9,9,9,9,Personal,,Psicología, Matemáticas, Lógica, Teatro,,10,9,10,10,9,Ninguna,Similar,,,
23,Mujer,Diseño y comunicación visual,18,5,5,4,5,1,1,1,1,1,4,4,todas las anteriores,,dibujo, creatividad, paciencia, práctica, disciplina,5,8,9,8,7,Personal,,Geometría, dibujo, literatura, matemáticas, historia,8,9,9,9,9,TV / Medios Impresos,Diferente,,,
24,Mujer,Diseño y comunicación visual,13,5,5,5,1,1,1,1,1,1,2,5,En varios hasta puedo ser freelancer,,Dibujo, creatividad, conceptualización, práctica y diciplina,,9,8,9,9,7,Personal,,Geometría, llevé materias de carrera técnica así que también me ayudaron. Matemáticas,,,,7,9,9,9,7,TV / Medios Impresos,Diferente,,,
22,Hombre,Ingeniería Eléctrica y Electrónica,18,4,4,5,1,1,5,5,5,1,1,1,Campo,,Ingenio, Inteligencia, Razonamiento, Análisis,Planeacion,7,7,6,7,7,Personal,,Física I, Fisica II, Calculo, Química I, Quimica II,7,8,7,8,8,Ninguna,Sin Carrera,,,
18,Mujer,Fisioterapia,17,4,5,5,1,5,1,5,5,1,1,1,Extranjero,,,,,,,10,10,9,,9,Personal,,Biología, química, bioquímica, salud, lectura.,10,9,10,10,9,Web / Redes Sociales,Diferente,,,
